time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,8.98571217013305e-14,0,9.25956855380979e-14,-8.41336893970258e-10,9.81461171577441e-14,-1.57466587469216e-09,2.02369476297334e-13,-2.58092365570518e-09,1.24643524829774e-13,-1.27085431079817e-09,3.4964640899447e-13,-8.50769950795299e-10,1.7306073580756e-13,6.73524647206502e-09,5.55582994600516e-13,1.56791984006978e-08,2.36989963117332e-13,2.82495191137727e-08,8.41031165124812e-13,5.27825710654354e-08,3.29360985758366e-13,3.79370348825212e-08,1.28251730264127e-12,4.9990417592154e-08,3.99610128371978e-13,-8.07761823585745e-08,3.03577025707863e-13,-2.13408219495154e-07,-4.04651279272703e-12,-5.02299910694912e-07,-1.12701417495256e-11,-9.81780120124452e-07,-1.81225251020317e-11,-9.46614927728726e-07
0.01,0,0,2.40236229703899e-12,0,2.46336093773699e-12,-9.73152572987261e-09,2.58850173627782e-12,-1.47657588812966e-08,5.32085707296142e-12,-1.73726497853969e-08,3.19464648365153e-12,7.81336505039843e-09,8.97753717697636e-12,2.71929120862629e-08,4.13019771337428e-12,9.2634744257196e-08,1.3621455315418e-11,1.78541535437058e-07,5.13967798552495e-12,2.01662659500748e-07,2.01894452927526e-11,3.55863775797567e-07,8.0644761066436e-12,7.65593284303855e-08,2.79702558171854e-11,8.87401009445045e-08,7.75648697856393e-13,-7.68379429603918e-07,-1.16296750590006e-11,-1.47906520630804e-06,-1.03971016926592e-10,-2.45497289890085e-06,-2.08325328083518e-10,-4.67306584617701e-06,-2.65810856796704e-10,-3.63279250176675e-06
0.015,0,0,2.10870984584647e-11,0,2.14461056047726e-11,-3.55252609373582e-08,2.22132897029268e-11,-3.73374460914391e-08,4.52542920254169e-11,-5.12522880679711e-09,2.55568482844678e-11,1.32701804348292e-07,7.22770814141044e-11,2.81974776578029e-07,2.807862498646e-11,4.4815357017165e-07,1.0282422120031e-10,8.20449221953929e-07,3.43659735769757e-11,5.35376733989373e-07,1.47354828686643e-10,1.0212571680376e-06,4.9418559298059e-11,-3.67793482155272e-07,1.55155030088343e-10,-4.47351867765259e-07,-8.85957080065281e-11,-2.82294207696204e-06,-1.96854144482504e-10,-4.93613352301874e-06,-6.90536913555136e-10,-6.15487778032574e-06,-1.24807646429094e-09,-1.22935378691401e-05,-1.30026521193423e-09,-8.0448289031056e-06
0.02,0,0,9.87354548925436e-11,0,9.98738027972654e-11,-1.1251099677231e-08,1.01944569705786e-10,7.12353252242307e-08,2.03953278826615e-10,3.03414918570427e-07,1.04623141442034e-10,6.11129401144016e-07,3.0649572836553e-10,1.20556745876964e-06,1.01398006369155e-10,1.11487087227303e-06,4.23474295060528e-10,2.1855607396292e-06,1.37924051771893e-10,5.75530715953951e-07,5.68087241922296e-10,1.67938282909921e-06,9.78097571429999e-11,-1.9601646824487e-06,3.86032425233033e-10,-2.40930732162419e-06,-6.38283830640375e-10,-6.47112150967734e-06,-1.11682003508905e-09,-1.14641701538089e-05,-2.50484921820797e-09,-1.15370539988502e-05,-4.54657826737916e-09,-2.47004270724174e-05,-4.03934262379264e-09,-1.41893645763548e-05
0.025,0,0,3.02707312381179e-10,0,3.02285285916577e-10,2.96859350470149e-07,2.99328960345117e-10,6.73424979495539e-07,5.89774015980118e-10,1.43029090201258e-06,2.72233264685166e-10,1.56782089880404e-06,8.59842885217111e-10,3.1730679191395e-06,2.81690411671534e-10,1.67285374873243e-06,1.19186085762415e-09,4.07882900334781e-06,3.65398307929715e-10,-2.8867885074953e-07,1.43103490184538e-09,1.68975663671048e-06,-7.67601744044213e-11,-4.92834672746905e-06,4.23807717456497e-10,-6.50377118051235e-06,-2.31868289770919e-09,-1.17000235735188e-05,-3.96184137457825e-09,-2.17865602904183e-05,-6.64311993542875e-09,-1.86394505452435e-05,-1.25019386867424e-08,-4.26262921942623e-05,-9.75163584959853e-09,-2.20557531229461e-05
0.03,0,0,7.0185078484117e-10,0,6.70256611216337e-10,1.10173296176551e-06,6.21363219510192e-10,2.03500489878737e-06,1.24671298289825e-09,3.66983261738371e-06,5.49578304729401e-10,2.84776174342155e-06,1.84544957414208e-09,6.1395328130332e-06,6.70820519345851e-10,1.68432190796734e-06,2.56895664843385e-09,6.09423333720118e-06,6.59031083354197e-10,-2.2926594516136e-06,2.64730887298319e-09,5.12933815003574e-07,-9.4622157639767e-10,-9.35426835253953e-06,-5.60217479662133e-10,-1.33590639028408e-05,-6.14370717157792e-09,-1.85918937136235e-05,-1.08042090242041e-08,-3.65600831393326e-05,-1.45402484079497e-08,-2.744229951561e-05,-2.87375025399041e-08,-6.67126366220828e-05,-2.00543357642512e-08,-3.16376519950118e-05
0.035,0,0,1.34702470416827e-09,0,1.20518361463373e-09,2.2552734228885e-06,1.0221162026407e-09,3.91646625619002e-06,2.15619470828e-09,6.6551587940173e-06,9.65577982780951e-10,4.30080322596525e-06,3.30739399088755e-09,9.69574362602432e-06,1.3262720808886e-09,1.19590303369246e-06,4.54423346652468e-09,7.86389990161537e-06,7.97568119088745e-10,-5.44971758621524e-06,3.70964627510279e-09,-2.30811101521589e-06,-3.31671777687766e-09,-1.53694882155882e-05,-4.18999017392139e-09,-2.35278646497362e-05,-1.35133731927642e-08,-2.71951380499631e-05,-2.48929276243801e-08,-5.63739282936843e-05,-2.80218087736801e-08,-3.79837892285846e-05,-5.84396752033955e-08,-9.75749254395322e-05,-3.69482535821838e-08,-4.29513173989971e-05
0.04,0,0,2.22017486562999e-09,0,1.89428478469878e-09,3.39315106310571e-06,1.49224902234853e-09,5.79814084069288e-06,3.29372279817887e-09,9.65137731862107e-06,1.50432597773728e-09,5.77371681757495e-06,5.19627832308278e-09,1.31438937938242e-05,2.19325225501341e-09,3.71088472878997e-07,6.87837499372964e-09,8.8663457674152e-06,3.84837103837929e-10,-9.59961862628548e-06,3.64619782668462e-09,-7.1733714559447e-06,-8.29049622546777e-09,-2.29029960503635e-05,-1.29342996567891e-08,-3.74174799969406e-05,-2.63104403990852e-08,-3.75935859180685e-05,-5.08807488048643e-08,-8.17452139753274e-05,-4.9508049558221e-08,-5.03765227644508e-05,-1.08812551552658e-07,-0.000135848199055431,-6.30630339501728e-08,-5.61209809380505e-05
0.045,0,0,3.19315280750152e-09,0,2.65863467469236e-09,4.3296147689288e-06,2.01111021341613e-09,7.33827474609822e-06,4.57367426010588e-09,1.20597184619956e-05,2.14376141456408e-09,6.84250836911439e-06,7.33641681730373e-09,1.55898931894306e-05,3.09189173319845e-09,-8.97177395450997e-07,9.08602064202157e-09,8.31592229148861e-06,-1.05531337525618e-09,-1.44612601983159e-05,1.19376051623627e-09,-1.45627687826736e-05,-1.70394486303279e-08,-3.16941440779592e-05,-2.97776598829166e-08,-5.53563020840979e-05,-4.68205481514831e-08,-4.97472839730342e-05,-9.45421730738799e-08,-0.00011306800047556,-8.22210909638142e-08,-6.47779043914392e-05,-1.89042638044139e-07,-0.000182111921703031,-1.01880033266481e-07,-7.13380848000697e-05
0.05,0,0,4.0557201916777e-09,0,3.34027026916204e-09,4.99724435323826e-06,2.50149231620715e-09,8.36470313166419e-06,5.81820541531999e-09,1.35197949519441e-05,2.87076926342345e-09,7.12263396773376e-06,9.42004171887166e-09,1.63004907496458e-05,3.74165657832794e-09,-2.9155826552741e-06,1.04241831423965e-08,5.31434055952061e-06,-4.11427622302361e-09,-2.00395468702075e-05,-5.18309824166532e-09,-2.52242585809998e-05,-3.06205249880431e-08,-4.14668405591641e-05,-5.77828929662222e-08,-7.78000576911539e-05,-7.71527356769256e-08,-6.34056074785533e-05,-1.6170908692227e-07,-0.000150632158448362,-1.29494927478488e-07,-8.10947288503968e-05,-3.08526964871871e-07,-0.000236601545437303,-1.5701276986256e-07,-8.85665565872016e-05
0.055,0,0,4.66485897196619e-09,0,3.85678004125409e-09,5.30867018892982e-06,2.94658132325485e-09,8.74878260165293e-06,6.92987980085183e-09,1.38098296209837e-05,3.63616434403745e-09,6.45829769926989e-06,1.11786263526118e-08,1.48266362880214e-05,3.80014450575028e-09,-5.99081580439226e-06,1.00215643287243e-08,-9.1605957651183e-07,-9.65807710995374e-09,-2.66304237581049e-05,-1.74116052480122e-08,-4.01024414397871e-05,-5.02416679554106e-08,-5.22290591392038e-05,-1.00190165038712e-07,-0.00010551466934767,-1.18714264215781e-07,-7.82067633536477e-05,-2.57115026913992e-07,-0.000194715914617899,-1.92905192604966e-07,-9.87555279822038e-05,-4.73570697112955e-07,-0.000298993793567968,-2.29974837469794e-07,-0.000107191204256161
0.06,0,0,5.09682598158082e-09,0,4.30837807590625e-09,5.24421105146497e-06,3.47283844270714e-09,8.43294791761564e-06,8.1133341109271e-09,1.27970092612341e-05,4.47467034644124e-09,4.68321395513929e-06,1.26582204961527e-08,1.08277001833816e-05,2.85721945842915e-09,-1.03713010001413e-05,7.15004585663251e-09,-1.10118916071953e-05,-1.8857615039331e-08,-3.45710738081737e-05,-3.7729737368851e-08,-6.01339056884992e-05,-7.75961087712061e-08,-6.4174292207546e-05,-1.60583985599856e-07,-0.000139396216982931,-1.72245140255892e-07,-9.38414939300061e-05,-3.84182876370177e-07,-0.000245643612537581,-2.71441618583657e-07,-0.000116967331271111,-6.86212657522494e-07,-0.000368735186145962,-3.19283805454701e-07,-0.000126305803623423
0.065,0,0,5.65617634750818e-09,0,4.99566243904109e-09,4.81017674871667e-06,4.36827265050548e-09,7.39412647350433e-06,9.88605326967359e-09,1.03879103914771e-05,5.47108978937782e-09,1.61335223601302e-06,1.41578771333557e-08,3.95687493982067e-06,3.16321202090879e-10,-1.6358771693768e-05,1.05166892921334e-09,-2.56070597256009e-05,-3.31893860472829e-08,-4.40984476284626e-05,-6.85239317100491e-08,-8.60891734940551e-05,-1.14265038350442e-07,-7.73278301215828e-05,-2.4242191122266e-07,-0.000180117107795306,-2.38106485933097e-07,-0.000110083598498925,-5.45836032235241e-07,-0.000303750505426042,-3.63780702558126e-07,-0.000135306542334691,-9.47747283283758e-07,-0.000445699261113231,-4.23270100886493e-07,-0.000145431711775103
0.07,0,0,6.7672826539592e-09,0,6.32758381678586e-09,3.95144494058271e-06,5.98415542753931e-09,5.5323044140978e-06,1.28197145834118e-08,6.38686491918722e-06,6.52544357076641e-09,-2.93467242892823e-06,1.57238039563558e-08,-6.1900723730572e-06,-4.81235296096743e-09,-2.41609406818323e-05,-9.58994619049155e-09,-4.5246922963429e-05,-5.42416574335363e-08,-5.52617082481482e-05,-1.12532435091879e-07,-0.000118463017967905,-1.61359369504517e-07,-9.15587089533531e-05,-3.49174858492946e-07,-0.000228038322707783,-3.16776690682864e-07,-0.000126844270962678,-7.46141963558122e-07,-0.000369407750379893,-4.70747188574085e-07,-0.00015387699757244,-1.26328787748045e-06,-0.000530409958855334,-5.43107442421239e-07,-0.000164743130103739
0.075,0,0,8.7807780782242e-09,0,8.61616350623473e-09,2.54005738310368e-06,8.52025175853403e-09,2.6288293057596e-06,1.7103128524598e-08,4.46420097089968e-07,7.10972521638476e-09,-9.13305168809578e-06,1.65834322044215e-08,-2.00225035468246e-05,-1.38532851334766e-08,-3.3725870408136e-05,-2.69985563924738e-08,-7.02189426876868e-05,-8.3494173675897e-08,-6.79049736264216e-05,-1.7338017367009e-07,-0.000157424936379366,-2.20232069361959e-07,-0.000106818696790756,-4.85999507492177e-07,-0.00028339107757637,-4.10102195176109e-07,-0.000144298093802004,-9.92593091643928e-07,-0.000443114032856639,-5.95161721684975e-07,-0.000173021292696836,-1.64341451588392e-06,-0.000623733960695038,-6.81996319019802e-07,-0.000184614943461412
0.08,0,0,1.18751152233196e-08,0,1.19184734305971e-08,4.29235051308008e-07,1.17836448965762e-08,-1.52743713746365e-06,2.21515338571285e-08,-7.72809833869659e-06,6.12506308504706e-09,-1.70298522082511e-05,1.4756996138812e-08,-3.77681241880252e-05,-2.83838222108671e-08,-4.48892138008647e-05,-5.47264725223181e-08,-0.000100563047966366,-1.22530004313831e-07,-8.18677089043381e-05,-2.56477334108606e-07,-0.00020297301274964,-2.93199349263787e-07,-0.000123209012339203,-6.61299229948892e-07,-0.000346405810325062,-5.21712878774137e-07,-0.000162781026527891,-1.29761151240784e-06,-0.000525474663817146,-7.41289766188761e-07,-0.000193126238987976,-2.10492664753001e-06,-0.000726660440554464,-8.44422446687637e-07,-0.000205431167217278
