time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,3.99364985487997e-12,0,4.11536380322591e-12,-1.12178252566577e-07,4.36204965307891e-12,-2.09955450047202e-07,8.99419894989551e-12,-3.44123154280366e-07,5.53971221671532e-12,-1.69447241635774e-07,1.55398404055421e-11,-1.13435993756444e-07,7.69158826098296e-12,8.9803286299187e-07,2.46925775469376e-11,2.09055978703651e-06,1.05328872533364e-11,3.76660254986318e-06,3.73791629075269e-11,7.0376761447167e-06,1.46382660378074e-11,5.05827132093704e-06,5.70007690265989e-11,6.66538901762544e-06,1.77604501588192e-11,-1.07701576472346e-05,1.34923122599369e-11,-2.84544292661263e-05,-1.79845013080416e-10,-6.69733214390303e-05,-5.00895189048415e-10,-0.000130904016035437,-8.05445560361467e-10,-0.000126215323718358
0.01,0,0,9.87843585212308e-11,0,1.01251981338992e-10,-1.07318026472124e-06,1.06320422941991e-10,-1.54885696294677e-06,2.18494139989484e-10,-1.62810701881457e-06,1.30904864538122e-10,1.38067647189069e-06,3.67921973766039e-10,3.85259357209126e-06,1.68181167394208e-10,1.05552335306173e-05,5.560128623808e-10,1.96244185385623e-05,2.07364359388683e-10,1.93551496557744e-05,8.22550358773952e-10,3.33731514334862e-05,3.2914463013255e-10,9.13680882527283e-08,1.12912095077354e-09,-1.49876412991454e-06,-1.04762200321706e-12,-8.09102753919078e-05,-5.43859072613415e-10,-0.000140299835746525,-4.26124408946769e-09,-0.000193383078055129,-8.25711315047384e-09,-0.000361267415593335,-1.02029248118255e-08,-0.000231941687666502
0.015,0,0,7.31648379994915e-10,0,7.42425580090205e-10,-2.36598459245104e-06,7.65892397271475e-10,-1.46070161552168e-06,1.55632523618906e-09,3.26109605022555e-06,8.62970798480505e-10,1.5271115283364e-05,2.44539117870569e-09,3.01183215229022e-05,8.96193409887808e-10,3.68472774427569e-05,3.40855461648882e-09,6.59632745366068e-05,1.09158214240726e-09,2.5140062854593e-05,4.82924461796759e-09,5.53459719773011e-05,1.50881470555745e-09,-5.93384069067635e-05,4.52353592420778e-09,-6.99801602431767e-05,-3.97101267871765e-09,-0.000193031413942059,-7.68833971776373e-09,-0.00032064260929996,-2.18083522179866e-08,-0.000299937584709259,-3.79540499806795e-08,-0.000654795537561936,-3.57728259806502e-08,-0.000356329847220039
0.02,0,0,2.71938994614443e-09,0,2.74325011860285e-09,5.60253780605711e-06,2.77772032892559e-09,1.59370687810333e-05,5.49696364241461e-09,3.78775874659687e-05,2.65108700537328e-09,4.85192319157754e-05,7.96432735583302e-09,9.30273714848606e-05,2.36244604788529e-09,5.20483721535147e-05,1.08425609831621e-08,0.000116051609957018,3.5109995284232e-09,-1.97861823444892e-05,1.38699757037247e-08,3.24041453835594e-05,6.41906205179528e-10,-0.00015297774584298,5.73768393582412e-09,-0.000191613878562127,-2.04595717922898e-08,-0.000293392536002325,-3.31990358808318e-08,-0.000549762297744119,-5.88277594372339e-08,-0.000417685972027272,-1.08646045385622e-07,-0.000999456446936165,-8.59639625554254e-08,-0.000462941646196208
0.025,0,0,6.34602784608639e-09,0,6.25281778577551e-09,3.54788487045586e-05,5.99492135964264e-09,6.43548777810629e-05,1.16506287779055e-08,0.000112372539104329,4.79825381143101e-09,7.90396500035407e-05,1.662888547499e-08,0.000169306050864383,5.65055137810701e-09,2.2349392665081e-05,2.33079612644556e-08,0.000136384241547577,6.59897123654648e-09,-9.5441704882138e-05,2.44832671534002e-08,-3.10208547193126e-05,-8.40056482930264e-09,-0.00024277986079864,-4.05877057398535e-09,-0.000354314574518723,-5.42248449682305e-08,-0.000403794520458874,-9.3246379443599e-08,-0.000826556495340631,-1.2509543852283e-07,-0.000529300448424471,-2.44925621009441e-07,-0.0013906592423691,-1.6791581551574e-07,-0.000585910397743634
0.03,0,0,1.13936916307511e-08,0,1.01014734388529e-08,7.1837623009837e-05,8.31772269997083e-09,0.000117189113487431,1.75466779194818e-08,0.000186233053302429,7.52820017582252e-09,9.16192131071302e-05,2.71758832388598e-08,0.000226222755780684,1.16441292456581e-08,-2.0820150675337e-05,3.78963379586083e-08,0.000132336640121164,6.45139521476898e-09,-0.000171755587638146,2.95734162042872e-08,-0.000125888513884318,-3.02421529397159e-08,-0.000347343096101641,-3.96756476110282e-08,-0.000559724334457474,-1.1577631560454e-07,-0.00051512186960885,-2.10858972224367e-07,-0.00114324692718197,-2.2588828167567e-07,-0.00064441334167993,-4.76655399115602e-07,-0.00182085435359027,-2.89982271265313e-07,-0.000691676760754154
0.035,0,0,1.72807436263725e-08,0,1.36730988416931e-08,8.19677976848041e-05,9.49355704421589e-09,0.000133672494545985,2.28748002909571e-08,0.000211810657358911,1.09606988485002e-08,0.000102119942885781,3.7799522896671e-08,0.000247939255606402,1.74870938571131e-08,-4.43019935528493e-05,4.98939039671951e-08,0.000103619774356914,-2.94117248804588e-10,-0.000249185318669599,1.76417927902696e-08,-0.000250249979257448,-7.51132399166686e-08,-0.000454686552968571,-1.21647523520727e-07,-0.000796115606656199,-2.11764736984435e-07,-0.000631978353688096,-4.15306808406504e-07,-0.00149860016123598,-3.73292964474201e-07,-0.000761120034414329,-8.43442594652619e-07,-0.00229412003668007,-4.60859528376968e-07,-0.000816813462957676
0.04,0,0,2.15260605144196e-08,0,1.69537402838657e-08,6.97493980183482e-05,1.14013353982579e-08,0.0001172178494354,2.7682203520362e-08,0.000187685935818976,1.29837269427947e-08,9.42693194867688e-05,4.61511954217907e-08,0.000211815705701669,2.10455098340815e-08,-6.56725228916797e-05,5.38462197354532e-08,3.00417817715904e-05,-1.80492755455315e-08,-0.000304134677321162,-2.04611445787494e-08,-0.000398449698821388,-1.45943728948555e-07,-0.000549782151171407,-2.66988473246228e-07,-0.00105583302558327,-3.56994938587158e-07,-0.000754483605539132,-7.39709213589195e-07,-0.00188424054441497,-5.81653344266944e-07,-0.000891247469410514,-1.39535626547154e-06,-0.0028089888744629,-6.9980019840774e-07,-0.000939144863562202
0.045,0,0,2.17177583712545e-08,0,1.70176752128307e-08,5.51129809251637e-05,1.16594005202934e-08,8.81344310460957e-05,2.92050306282255e-08,0.000133428242643199,1.54358157818498e-08,4.82379430226923e-05,4.89668697670434e-08,0.000114321210647983,1.88944471479081e-08,-0.000103428226749732,4.42726535390288e-08,-0.00010342719108187,-4.59569712345614e-08,-0.000344084288778449,-8.85347780684606e-08,-0.000586800057763213,-2.42899278795627e-07,-0.000622373241906979,-4.81605873037418e-07,-0.00133601018342179,-5.54568586738473e-07,-0.000866014035445725,-1.20080366285674e-06,-0.00229213660148533,-8.72265434672019e-07,-0.0010289426753406,-2.17043706163875e-06,-0.00335951921601088,-1.0254068156817e-06,-0.00108980851204917
0.05,0,0,1.66193462171012e-08,0,1.32778915907182e-08,3.39055499843015e-05,1.01358412454815e-08,4.87250164698495e-05,2.61085350419563e-08,6.12527907228802e-05,1.68760997230144e-08,-1.08846575401047e-05,4.36404533868128e-08,-1.9567843770841e-05,9.98494948849942e-09,-0.00016569029359562,1.52039873151759e-08,-0.000296775787898881,-8.99962225723913e-08,-0.000399687925808665,-1.9487886391647e-07,-0.000834726569453499,-3.60706232796976e-07,-0.000680657524283919,-7.63073597068979e-07,-0.00165649170212978,-7.93536287668805e-07,-0.000955103999367063,-1.78440549516514e-06,-0.00271642838849372,-1.22880706212557e-06,-0.00114664426752589,-3.1400049993e-06,-0.00390578518915654,-1.42495246183067e-06,-0.0012073318112715
0.055,0,0,1.04548415195214e-08,0,9.67920665245589e-09,7.6202100410089e-06,9.64669660780247e-09,2.48973369341947e-06,2.33010870413611e-08,-2.25742312565453e-05,1.71423686646444e-08,-7.76882988074916e-05,3.4522102747223e-08,-0.00017693442280817,-7.38371504150962e-09,-0.000244337740328689,-3.30933704135002e-08,-0.000533931758955753,-1.56394220278663e-07,-0.000479097452551566,-3.4860740966228e-07,-0.00114902349509446,-5.11349905546415e-07,-0.000754312844302406,-1.12170151504387e-06,-0.00203879286468143,-1.05365855248808e-06,-0.00101839655869689,-2.455886833414e-06,-0.00316142347502529,-1.5894521714009e-06,-0.00120814476325785,-4.19532788232895e-06,-0.00441321509871154,-1.817834998956e-06,-0.00127597082741088
0.06,0,0,8.74554202463519e-09,0,1.03932997827512e-08,-1.62110853096935e-05,1.37435763871112e-08,-4.45945634924037e-05,2.92995213378599e-08,-0.000112457355647917,2.01260938051176e-08,-0.000158981975011066,3.12425139145659e-08,-0.000356239923049074,-3.45213475405499e-08,-0.000339723245188808,-9.4522963874045e-08,-0.000812161842213361,-2.5247431782253e-07,-0.000579659612258405,-5.54419067538338e-07,-0.00152182906348709,-7.04414382508764e-07,-0.000838397070907004,-1.56248633120431e-06,-0.00247875314746298,-1.32551970237611e-06,-0.00106625281126476,-3.19162688810677e-06,-0.00362896295123209,-1.90109763019711e-06,-0.00122011722308491,-5.25552485361488e-06,-0.00488568582827641,-2.15149943045202e-06,-0.00127266441165208
