time,Ft
0,0
0.005,0.00075
0.01,0.0015
0.015,0.00225
0.02,0.003
0.025,0.00375
0.03,0.0045
0.035,0.00525
0.04,0.006
0.045,0.00675
0.05,0.0075
0.055,0.00825
0.06,0.009
0.065,0.00975
0.07,0.0105
0.075,0.01125
0.08,0.012
0.085,0.01275
0.09,0.0135
0.095,0.01425
0.1,0.015
0.105,0.01575
0.11,0.0165
0.115,0.01725
0.12,0.018
0.125,0.01875
0.13,0.0195
0.135,0.02025
0.14,0.021
0.145,0.02175
0.15,0.0225
0.155,0.02325
0.16,0.024
0.165,0.02475
0.17,0.0255
0.175,0.02625
0.18,0.027
0.185,0.02775
0.19,0.0285
0.195,0.02925
0.2,0.03
0.205,0.03075
0.21,0.0315
0.215,0.03225
0.22,0.033
0.225,0.03375
0.23,0.0345
0.235,0.03525
0.24,0.036
0.245,0.03675
0.25,0.0375
0.255,0.03825
0.26,0.039
0.265,0.03975
0.27,0.0405
0.275,0.04125
0.28,0.042
0.285,0.04275
0.29,0.0435
0.295,0.04425
0.3,0.045
0.305,0.04575
0.31,0.0465
0.315,0.04725
0.32,0.048
0.325,0.04875
0.33,0.0495
0.335,0.05025
0.34,0.051
0.345,0.05175
0.35,0.0525
0.355,0.05325
0.36,0.054
0.365,0.05475
0.37,0.0555
0.375,0.05625
0.38,0.057
0.385,0.05775
0.39,0.0585
0.395,0.05925
0.4,0.06
0.405,0.06075
0.41,0.0615
0.415,0.06225
0.42,0.063
0.425,0.06375
0.43,0.0645
0.435,0.06525
0.44,0.0660000000000001
0.445,0.0667500000000001
0.45,0.0675000000000001
0.455,0.0682500000000001
0.46,0.0690000000000001
0.465,0.0697500000000001
0.47,0.0705000000000001
0.475,0.0712500000000001
0.48,0.0720000000000001
0.485,0.0727500000000001
0.49,0.0735000000000001
0.495,0.0742500000000001
0.5,0.0750000000000001
0.505,0.0757500000000001
0.51,0.0765000000000001
0.515,0.0772500000000001
0.52,0.0780000000000001
0.525,0.0787500000000001
0.53,0.0795000000000001
0.535,0.0802500000000001
0.54,0.0810000000000001
0.545,0.0817500000000001
0.55,0.0825000000000001
0.555,0.0832500000000001
0.56,0.0840000000000001
0.565,0.0847500000000001
0.57,0.0855000000000001
0.575,0.0862500000000001
0.58,0.0870000000000001
0.585,0.0877500000000001
0.59,0.0885000000000001
0.595,0.0892500000000001
0.6,0.0900000000000001
0.605,0.0907500000000001
0.61,0.0915000000000001
0.615,0.0922500000000001
0.62,0.0930000000000001
0.625,0.0937500000000001
0.63,0.0945000000000001
0.635,0.0952500000000001
0.64,0.0960000000000001
0.645,0.0967500000000001
0.65,0.0975000000000001
0.655,0.0982500000000001
0.66,0.0990000000000001
0.665,0.0997500000000001
0.67,0.1005
0.675,0.10125
0.68,0.102
0.685,0.10275
0.690000000000001,0.1035
0.695000000000001,0.10425
0.700000000000001,0.105
0.705000000000001,0.10575
0.710000000000001,0.1065
0.715000000000001,0.10725
0.720000000000001,0.108
0.725000000000001,0.10875
0.730000000000001,0.1095
0.735000000000001,0.11025
0.740000000000001,0.111
0.745000000000001,0.11175
0.750000000000001,0.1125
0.755000000000001,0.11325
0.760000000000001,0.114
0.765000000000001,0.11475
0.770000000000001,0.1155
0.775000000000001,0.11625
0.780000000000001,0.117
0.785000000000001,0.11775
0.790000000000001,0.1185
0.795000000000001,0.11925
0.800000000000001,0.12
0.805000000000001,0.12075
0.810000000000001,0.1215
0.815000000000001,0.12225
0.820000000000001,0.123
0.825000000000001,0.12375
0.830000000000001,0.1245
0.835000000000001,0.12525
0.840000000000001,0.126
0.845000000000001,0.12675
0.850000000000001,0.1275
0.855000000000001,0.12825
0.860000000000001,0.129
0.865000000000001,0.12975
0.870000000000001,0.1305
0.875000000000001,0.13125
0.880000000000001,0.132
0.885000000000001,0.13275
0.890000000000001,0.1335
0.895000000000001,0.13425
0.900000000000001,0.135
0.905000000000001,0.13575
0.910000000000001,0.1365
0.915000000000001,0.13725
0.920000000000001,0.138
0.925000000000001,0.13875
0.930000000000001,0.1395
0.935000000000001,0.14025
0.940000000000001,0.141
0.945000000000001,0.14175
0.950000000000001,0.1425
0.955000000000001,0.14325
0.960000000000001,0.144
0.965000000000001,0.14475
0.970000000000001,0.1455
0.975000000000001,0.14625
0.980000000000001,0.147
0.985000000000001,0.14775
0.990000000000001,0.1485
0.995000000000001,0.14925
1,0
1.005,0
1.01,0
1.015,0
1.02,0
1.025,0
1.03,0
1.035,0
1.04,0
1.045,0
1.05,0
1.055,0
1.06,0
1.065,0
1.07,0
1.075,0
1.08,0
1.085,0
1.09,0
1.095,0
1.1,0
1.105,0
1.11,0
1.115,0
1.12,0
1.125,0
1.13,0
1.135,0
1.14,0
1.145,0
1.15,0
1.155,0
1.16,0
1.165,0
1.17,0
1.175,0
1.18,0
1.185,0
1.19,0
1.195,0
1.2,0
1.205,0
1.21,0
1.215,0
1.22,0
1.225,0
1.23,0
1.235,0
1.24,0
1.245,0
1.25,0
1.255,0
1.26,0
1.265,0
1.26999999999999,0
1.27499999999999,0
1.27999999999999,0
1.28499999999999,0
1.28999999999999,0
1.29499999999999,0
1.29999999999999,0
1.30499999999999,0
1.30999999999999,0
1.31499999999999,0
1.31999999999999,0
1.32499999999999,0
1.32999999999999,0
1.33499999999999,0
1.33999999999999,0
1.34499999999999,0
1.34999999999999,0
1.35499999999999,0
1.35999999999999,0
1.36499999999999,0
1.36999999999999,0
1.37499999999999,0
1.37999999999999,0
1.38499999999999,0
1.38999999999999,0
1.39499999999999,0
1.39999999999999,0
1.40499999999999,0
1.40999999999999,0
1.41499999999999,0
1.41999999999999,0
1.42499999999999,0
1.42999999999999,0
1.43499999999999,0
1.43999999999999,0
1.44499999999999,0
1.44999999999999,0
1.45499999999999,0
1.45999999999999,0
1.46499999999999,0
1.46999999999999,0
1.47499999999999,0
1.47999999999999,0
1.48499999999999,0
1.48999999999999,0
1.49499999999999,0
1.49999999999999,0
1.50499999999999,0
1.50999999999999,0
1.51499999999999,0
1.51999999999999,0
1.52499999999999,0
1.52999999999999,0
1.53499999999999,0
1.53999999999999,0
1.54499999999999,0
1.54999999999999,0
1.55499999999999,0
1.55999999999999,0
1.56499999999999,0
1.56999999999999,0
1.57499999999999,0
1.57999999999999,0
1.58499999999999,0
1.58999999999999,0
1.59499999999999,0
1.59999999999999,0
1.60499999999999,0
1.60999999999999,0
1.61499999999999,0
1.61999999999999,0
1.62499999999999,0
1.62999999999999,0
1.63499999999999,0
1.63999999999999,0
1.64499999999999,0
1.64999999999999,0
1.65499999999999,0
1.65999999999999,0
1.66499999999999,0
1.66999999999999,0
1.67499999999999,0
1.67999999999999,0
1.68499999999999,0
1.68999999999999,0
1.69499999999999,0
1.69999999999999,0
1.70499999999999,0
1.70999999999999,0
1.71499999999999,0
