time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,2.49603115651091e-13,0,2.57210237414244e-13,1.40222815568687e-09,2.72628103013004e-13,2.62444312228074e-09,5.62137433740841e-13,4.30153942151675e-09,3.46232013158706e-13,2.11809051309651e-09,9.71240024261151e-13,1.4179499100654e-09,4.80724265773459e-13,-1.12254107855283e-08,1.54328609497042e-12,-2.61319973275762e-08,6.58305452644049e-13,-4.7082531822284e-08,2.3361976792659e-12,-8.79709517092594e-08,9.14891626593792e-13,-6.32283913891801e-08,3.5625480603524e-12,-8.33173625201339e-08,1.11002813324742e-12,1.34626970612009e-07,8.43269515073413e-13,3.55680365822614e-07,-1.124031330434e-11,8.37166517498803e-07,-3.13059492816618e-11,1.63630019973633e-06,-5.03403474717478e-11,1.57769154568468e-06
0.01,0,0,6.67322852978444e-12,0,6.84266919629452e-12,1.62192094030033e-08,7.19028252129655e-12,2.46095978304538e-08,1.47801583718524e-11,2.8954415742602e-08,8.87401790898544e-12,-1.30222755365137e-08,2.4937602985996e-11,-4.53215208168554e-08,1.14727712885973e-11,-1.54391239870953e-07,3.78373754441487e-11,-2.97569224369408e-07,1.42768831424551e-11,-3.36104428616223e-07,5.60817918659793e-11,-5.93106285914844e-07,2.24013222793428e-11,-1.27598873898758e-07,7.76951540398699e-11,-1.47900157089114e-07,2.15457935950049e-12,1.28063238086017e-06,-3.23046528133124e-11,2.46510867457076e-06,-2.88808376601373e-10,4.09162147117452e-06,-5.78681459624652e-10,7.78844303927981e-06,-7.38363481737305e-10,6.0546541312533e-06
0.015,0,0,5.85752708938145e-11,0,5.95725129096085e-11,5.92087640111247e-08,6.17035797166888e-11,6.22290694194559e-08,1.2570636095333e-10,8.54203663487939e-09,7.09912417051263e-11,-2.21169678144613e-07,2.00769660903099e-10,-4.69957965900847e-07,7.79961764040603e-11,-7.46922595108869e-07,2.85622822959548e-10,-1.36741533007454e-06,9.54610336800522e-11,-8.9229448830017e-07,4.09318948055708e-10,-1.70209516184534e-06,1.37273765246557e-10,6.12989208566748e-07,4.30986163593521e-10,7.45586577132399e-07,-2.46099188920261e-10,4.70490338430164e-06,-5.4681704921203e-10,8.22688913196214e-06,-1.91815797674081e-09,1.02581293091893e-05,-3.46687886995899e-09,2.04892293252134e-05,-3.61184759215725e-09,1.34080477657841e-05
0.02,0,0,2.74265117077069e-10,0,2.77427193843766e-10,1.87517880506552e-08,2.83179322299237e-10,-1.18725608021078e-07,5.66536807804557e-10,-5.05691612346348e-07,2.90619792536473e-10,-1.01854898214473e-06,8.51376902014362e-10,-2.00927905166482e-06,2.81661089038237e-10,-1.85811786570907e-06,1.1763173218384e-09,-3.6426008061104e-06,3.83122309783912e-10,-9.59217385370662e-07,1.57801985147474e-09,-2.7989705331322e-06,2.71693633445688e-10,3.26694139129011e-06,1.07231197396214e-09,4.0155128762941e-06,-1.77301048532642e-09,1.07852017992688e-05,-3.10227752110891e-09,1.91069496098112e-05,-6.95791322527919e-09,1.92284214833994e-05,-1.26293819749076e-08,4.11673757291486e-05,-1.12203941239691e-08,2.36489387966252e-05
0.025,0,0,8.40853372120444e-10,0,8.39681065124347e-10,-4.94765799920654e-07,8.31469033222929e-10,-1.12237521532493e-06,1.63826056487768e-09,-2.3838183652993e-06,7.56203217462376e-10,-2.61303442246204e-06,2.38845160525891e-09,-5.28844579478319e-06,7.82473121642629e-10,-2.78808812754219e-06,3.31072339558428e-09,-6.79804583709026e-06,1.01499476547843e-09,4.81133267479118e-07,3.97509499369537e-09,-2.81625730458589e-06,-2.13223468099513e-10,8.21391145035026e-06,1.17724190559716e-09,1.08396208437108e-05,-6.44078394916958e-09,1.95000357069489e-05,-1.1005111767968e-08,3.63109304657421e-05,-1.84531027904545e-08,3.106574370408e-05,-3.47275938369014e-08,7.10438091057528e-05,-2.70878654134714e-08,3.67595804310944e-05
0.03,0,0,1.94958404135178e-09,0,1.8618223728801e-09,-1.83622206353622e-06,1.7260073521501e-09,-3.39167503007013e-06,3.46308861869484e-09,-6.11638713198456e-06,1.52660513609395e-09,-4.74626706778497e-06,5.12624459041123e-09,-1.02325500981288e-05,1.86338894096063e-09,-2.80719787398157e-06,7.13598424946213e-09,-1.01570454646531e-05,1.83063875427509e-09,3.82110395878059e-06,7.35362600015609e-09,-8.54877411165343e-07,-2.62839543023899e-09,1.55904456531927e-05,-1.55616579724277e-09,2.22651117309332e-05,-1.70658411598339e-08,3.09864766558011e-05,-3.0011673223055e-08,6.09334591472687e-05,-4.03895417034077e-08,4.57371438033482e-05,-7.98263317644351e-08,0.000111187691345942,-5.57064371880781e-08,5.27293958290305e-05
0.035,0,0,3.74172896195822e-09,0,3.34772586631306e-09,-3.7587888517797e-06,2.83920557690514e-09,-6.52744161624396e-06,5.98941822061563e-09,-1.109192524862e-05,2.68215674183446e-09,-7.16799558069998e-06,9.18718896307783e-09,-1.61595538784418e-05,3.68408239932611e-09,-1.99315710835847e-06,1.26228441595952e-08,-1.31064679248584e-05,2.2154543063761e-09,9.08287197404536e-06,1.03045365603338e-08,3.84688441127319e-06,-9.21310632714123e-09,2.56158037416857e-05,-1.16388751911463e-08,3.92131169375112e-05,-3.75370930962851e-08,4.53251927551911e-05,-6.91469389792686e-08,9.39565077086901e-05,-7.78382223163573e-08,6.33062579660769e-05,-1.62332188073504e-07,0.000162624775676771,-1.02633860716382e-07,7.15854672563959e-05
0.04,0,0,6.167129790004e-09,0,5.26188072629718e-09,-5.65524716027606e-06,4.14511751929576e-09,-9.66355593923057e-06,9.14919349360501e-09,-1.60856030422373e-05,4.17867014264673e-09,-9.62283197954628e-06,1.44340519419161e-08,-2.19064306849452e-05,6.09234172245088e-09,-6.18447215601874e-07,1.91065080907415e-08,-1.47771583510447e-05,1.06895327891969e-09,1.5999377274467e-05,1.01282184646521e-08,1.19556946624908e-05,-2.30291389571046e-08,3.81716253121492e-05,-3.59286212853627e-08,6.23624778673753e-05,-7.30843603703641e-08,6.26558831155299e-05,-1.4133511273552e-07,0.000136241918476133,-1.37521940264638e-07,8.39607380506002e-05,-3.02256300140522e-07,0.000226413420979059,-1.75174564605595e-07,9.35348267895508e-05
0.045,0,0,8.86980194554261e-09,0,7.38503620647076e-09,-7.21600621581762e-06,5.58636878896554e-09,-1.22304184543338e-05,1.27045514088741e-08,-2.00994542978625e-05,5.95485594267772e-09,-1.14041081749809e-05,2.03787812468042e-08,-2.59830047551435e-05,8.58850941870936e-09,1.49536338433966e-06,2.52386960033841e-08,-1.3859676205667e-05,-2.93151986452903e-09,2.41021109817195e-05,3.3157312123983e-09,2.42714373800075e-05,-4.73316996962363e-08,5.28234806236495e-05,-8.27156632163059e-08,9.22605080776308e-05,-1.30056484313812e-07,8.29119323674816e-05,-2.62616205429919e-07,0.000188446422331649,-2.2839077129044e-07,0.000107962892569434,-5.2511618837117e-07,0.000303519331959887,-2.82998682163867e-07,0.00011889651171223
